a,b,R3,R4,theta,A1,A2,A4,phi,E,E_p1,E_p2,E_t1,E_t2,E_t3,E_t4,machine_type,status,file_name
7.9,6.1,-0.2,0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.2_R4=0.2_cx=0_cy=0_cz=0.log
7.9,6.1,0.2,-0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.2_R4=-0.2_cx=0_cy=0_cz=0.log
7.9,6.1,-0.1,-0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.1_R4=-0.1_cx=0_cy=0_cz=0.log
7.9,6.1,-0.3,0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.3_R4=0.1_cx=0_cy=0_cz=0.log
7.9,6.1,-0.1,0,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.1_R4=0.0_cx=0_cy=0_cz=0.log
7.9,6.1,-0.3,0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.3_R4=0.2_cx=0_cy=0_cz=0.log
7.9,6.1,0.1,-0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.1_R4=-0.3_cx=0_cy=0_cz=0.log
7.9,6.1,0.1,0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.1_R4=0.1_cx=0_cy=0_cz=0.log
7.9,6.1,0.1,0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.1_R4=0.2_cx=0_cy=0_cz=0.log
7.9,6.1,0.1,-0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.1_R4=-0.2_cx=0_cy=0_cz=0.log
7.9,6.1,-0.3,0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.3_R4=0.3_cx=0_cy=0_cz=0.log
7.9,6.1,0.1,0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.1_R4=0.3_cx=0_cy=0_cz=0.log
7.9,6.1,0.1,-0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.1_R4=-0.1_cx=0_cy=0_cz=0.log
7.9,6.1,-0.2,0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.2_R4=0.1_cx=0_cy=0_cz=0.log
7.9,6.1,0.2,0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.2_R4=0.1_cx=0_cy=0_cz=0.log
7.9,6.1,0.2,-0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.2_R4=-0.3_cx=0_cy=0_cz=0.log
7.9,6.1,-0.2,0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.2_R4=0.3_cx=0_cy=0_cz=0.log
7.9,6.1,0.2,0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.2_R4=0.2_cx=0_cy=0_cz=0.log
7.9,6.1,0.2,-0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.2_R4=-0.1_cx=0_cy=0_cz=0.log
7.9,6.1,-0.1,0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.1_R4=0.1_cx=0_cy=0_cz=0.log
7.9,6.1,0.2,0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.2_R4=0.3_cx=0_cy=0_cz=0.log
7.9,6.1,0.3,-0.3,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.3_R4=-0.3_cx=0_cy=0_cz=0.log
7.9,6.1,-0.1,0.2,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=-0.1_R4=0.2_cx=0_cy=0_cz=0.log
7.9,6.1,0.3,0.1,28.5,2,-6,2,39,0,0,0,0,0,0,0,1,InProgress,mono-C9-BTBT_a=7.9_b=6.1_phi=39_theta=28.5_A1=2_A2=-6_A4=2_R3=0.3_R4=0.1_cx=0_cy=0_cz=0.log
